"x_","y_","t_","id"
704109.492169833,-3029239.34978679,2015-05-12 09:28:00,"ID1"
703680.045380283,-3029412.20090608,2015-05-12 10:00:00,"ID1"
703043.36485548,-3030028.16961384,2015-05-12 11:00:00,"ID1"
702852.448344925,-3030189.02155523,2015-05-12 12:00:00,"ID1"
702637.904745963,-3030319.45325814,2015-05-12 13:00:00,"ID1"
701831.076922937,-3031792.71617991,2015-05-12 14:00:00,"ID1"
701823.008861122,-3031780.25862693,2015-05-12 15:00:00,"ID1"
701818.098936381,-3031796.46257569,2015-05-13 04:29:00,"ID1"
701823.217467308,-3031796.47751024,2015-05-13 05:01:00,"ID1"
701815.015199213,-3031800.77844816,2015-05-13 05:33:00,"ID1"
701820.168431491,-3031788.90008821,2015-05-13 06:05:00,"ID1"
701827.346993857,-3031784.59615976,2015-05-13 07:33:00,"ID1"
701705.500718376,-3031792.89041828,2015-05-13 08:33:00,"ID1"
701737.262432553,-3031810.78157599,2015-05-13 09:33:00,"ID1"
701605.007282861,-3032074.30076106,2015-05-13 10:33:00,"ID1"
701607.115817334,-3032063.98640541,2015-05-13 11:33:00,"ID1"
701597.528923401,-3032066.03766547,2015-05-13 12:33:00,"ID1"
701663.325592131,-3032213.35463266,2015-05-13 13:33:00,"ID1"
701669.470972506,-3032212.29137494,2015-05-13 14:33:00,"ID1"
701667.404640289,-3032218.77245247,2015-05-14 04:41:00,"ID1"
701670.510446485,-3032206.88848379,2015-05-14 05:26:00,"ID1"
701671.537304843,-3032205.81029433,2015-05-14 06:02:00,"ID1"
701679.977126917,-3032211.61690247,2015-05-14 07:02:00,"ID1"
701667.43617927,-3032207.9607007,2015-05-14 08:02:00,"ID1"
701669.48043423,-3032209.04784876,2015-05-14 09:02:00,"ID1"
701823.736425586,-3031969.47274623,2015-05-14 10:02:00,"ID1"
701768.382112018,-3031643.86497443,2015-05-14 11:02:00,"ID1"
700710.954711719,-3035485.09016812,2015-05-14 12:02:00,"ID1"
701289.088492062,-3037328.5426494,2015-05-14 13:02:00,"ID1"
700683.287086925,-3035846.03306084,2015-05-14 14:02:00,"ID1"
700690.735595865,-3035836.8671547,2015-05-14 15:02:00,"ID1"
700732.439901043,-3035840.77177837,2015-05-15 04:33:00,"ID1"
700686.934782427,-3035841.98101474,2015-05-15 05:33:00,"ID1"
700694.347397633,-3035833.71813668,2015-05-15 06:33:00,"ID1"
700793.880352883,-3036185.75178673,2015-05-15 07:33:00,"ID1"
700677.906515682,-3036170.2817745,2015-05-15 08:33:00,"ID1"
706762.764311432,-3042206.64078872,2015-05-15 09:33:00,"ID1"
706666.949588622,-3041718.55569777,2015-05-15 10:33:00,"ID1"
706977.101826621,-3042073.84223526,2015-05-15 11:33:00,"ID1"
706784.443755795,-3042144.58209479,2015-05-15 12:33:00,"ID1"
706821.857548315,-3041953.46129557,2015-05-15 13:33:00,"ID1"
706819.803872595,-3041955.61607503,2015-05-15 14:33:00,"ID1"
706761.098100479,-3041728.5561562,2015-05-16 04:29:00,"ID1"
706826.99173778,-3041948.07434551,2015-05-16 05:00:00,"ID1"
706759.984868928,-3042211.92651706,2015-05-16 06:00:00,"ID1"
707056.931955595,-3042195.44102553,2015-05-16 07:00:00,"ID1"
706757.277797607,-3042215.80795388,2015-05-16 08:00:00,"ID1"
706652.14057851,-3041881.11533805,2015-05-16 09:00:00,"ID1"
706376.060857482,-3041774.96370352,2015-05-16 10:00:00,"ID1"
705978.549534347,-3041886.15999211,2015-05-16 11:00:00,"ID1"
705976.920552323,-3041883.1300554,2015-05-16 12:00:00,"ID1"
705980.600031984,-3041885.08559806,2015-05-16 13:00:00,"ID1"
705983.649880663,-3041892.2972986,2015-05-16 14:00:00,"ID1"
705988.776653242,-3041889.4312475,2015-05-16 15:00:00,"ID1"
706022.095206015,-3041698.29472208,2015-05-17 04:27:00,"ID1"
706742.619601896,-3042194.31148064,2015-05-17 05:27:00,"ID1"
706662.029653134,-3041720.7020951,2015-05-17 06:27:00,"ID1"
706670.001534812,-3041725.04721943,2015-05-17 07:20:00,"ID1"
706661.11745078,-3041720.28386657,2015-05-17 08:20:00,"ID1"
706776.906341931,-3040927.36627005,2015-05-17 09:20:00,"ID1"
706915.855246402,-3040621.52954333,2015-05-17 10:14:00,"ID1"
706916.869388128,-3040624.77406549,2015-05-17 10:46:00,"ID1"
706912.777889291,-3040623.68152669,2015-05-17 11:18:00,"ID1"
706922.982818868,-3040634.5166531,2015-05-17 11:50:00,"ID1"
706915.871124552,-3040616.127019,2015-05-17 12:23:00,"ID1"
706915.833017002,-3040629.09307375,2015-05-17 12:55:00,"ID1"
706899.425739513,-3040638.76946985,2015-05-17 13:27:00,"ID1"
706902.45228728,-3040653.9055327,2015-05-17 14:01:00,"ID1"
706918.862739468,-3040643.14864481,2015-05-17 14:36:00,"ID1"
706924.035068418,-3040624.79512577,2015-05-17 15:11:00,"ID1"
706916.847158701,-3040632.33759405,2015-05-18 04:36:00,"ID1"
706916.828104917,-3040638.82061528,2015-05-18 05:19:00,"ID1"
706920.967238231,-3040623.70559545,2015-05-18 06:02:00,"ID1"
706951.091888914,-3040474.68240569,2015-05-18 06:43:00,"ID1"
706540.214616287,-3043392.73989891,2015-05-18 07:16:00,"ID1"
705936.305898461,-3089404.55257644,2015-05-18 08:16:00,"ID1"
705915.855639455,-3089398.03313646,2015-05-18 09:16:00,"ID1"
706505.381806112,-3107857.46519468,2015-05-18 10:16:00,"ID1"
706499.23835266,-3107858.52219778,2015-05-18 11:16:00,"ID1"
706500.268052343,-3107856.37511631,2015-05-18 12:16:00,"ID1"
706501.304069269,-3107852.0779457,2015-05-18 13:16:00,"ID1"
706013.144303453,-3107852.79427575,2015-05-18 14:16:00,"ID1"
706476.632341896,-3107889.63228818,2015-05-19 04:46:00,"ID1"
706539.260826451,-3107821.01287197,2015-05-19 06:16:00,"ID1"
706508.555701446,-3107848.95678659,2015-05-19 07:16:00,"ID1"
706509.4942879,-3107851.02695585,2015-05-19 08:16:00,"ID1"
710032.665171255,-3110054.3301009,2015-05-19 09:16:00,"ID1"
709958.047792898,-3110024.01329601,2015-05-19 10:16:00,"ID1"
709991.992660605,-3109849.80335301,2015-05-19 11:16:00,"ID1"
709992.06947841,-3109852.66995288,2015-05-19 12:16:00,"ID1"
710075.327188576,-3109989.42608908,2015-05-19 13:16:00,"ID1"
710074.976434968,-3109984.43454485,2015-05-19 14:16:00,"ID1"
710074.810740728,-3109991.0368817,2015-05-20 04:36:00,"ID1"
710072.55450462,-3110061.97200095,2015-05-20 05:36:00,"ID1"
710080.751011689,-3110058.7715873,2015-05-20 06:36:00,"ID1"
710079.711768062,-3110064.14288136,2015-05-20 07:36:00,"ID1"
710088.1399156,-3110069.13905392,2015-05-20 08:36:00,"ID1"
711158.752407766,-3112237.07954421,2015-05-20 09:36:00,"ID1"
710908.224960943,-3112146.73287715,2015-05-20 10:36:00,"ID1"
711156.019552809,-3112238.38497574,2015-05-20 11:36:00,"ID1"
711161.740223425,-3112226.46085341,2015-05-20 12:36:00,"ID1"
711173.432630378,-3112233.0630088,2015-05-20 13:36:00,"ID1"
711107.865710138,-3112310.32948015,2015-05-20 14:36:00,"ID1"
711108.74459034,-3112305.95066118,2015-05-21 04:56:00,"ID1"
711160.135257158,-3112230.87429327,2015-05-21 06:28:00,"ID1"
711164.225534154,-3112231.9610843,2015-05-21 07:00:00,"ID1"
711136.572461709,-3112239.40215429,2015-05-21 07:33:00,"ID1"
711156.019552809,-3112238.38497574,2015-05-21 08:07:00,"ID1"
