"id","kde_95_reg","mcps_95_reg","species","study","bird"
"ID1_2015/06",10691.3121711814,5731.33785815077,"wb","eswatini","ID1"
"ID1_2015/07",12764.6416785619,6369.19186601561,"wb","eswatini","ID1"
"ID1_2015/08",4147.98039839241,2886.70707992793,"wb","eswatini","ID1"
"ID1_2015/09",2545.29095811697,2761.07285784563,"wb","eswatini","ID1"
"ID1_2015/10",16519.350445536,8403.3909539977,"wb","eswatini","ID1"
"ID1_2015/11",10349.1152871007,7500.77993918546,"wb","eswatini","ID1"
"ID1_2015/12",7104.34071172407,3658.0789006823,"wb","eswatini","ID1"
"ID1_2016/01",52648.7107758888,21799.1673739955,"wb","eswatini","ID1"
"ID1_2016/02",52112.4277052017,19383.613996801,"wb","eswatini","ID1"
"ID1_2016/03",41285.609880822,19450.3453940306,"wb","eswatini","ID1"
"ID1_2016/04",36578.0642051159,18692.8774503724,"wb","eswatini","ID1"
"ID1_2016/05",4763.02844835548,6209.109936264,"wb","eswatini","ID1"
"ID1_2016/06",2196.70601380366,1520.57312031588,"wb","eswatini","ID1"
"ID1_2016/07",10186.2722491256,4868.45590410966,"wb","eswatini","ID1"
"ID1_2016/08",28160.548624337,6360.70224918299,"wb","eswatini","ID1"
"ID1_2016/09",39658.8640023943,10976.9016382253,"wb","eswatini","ID1"
"ID1_2016/10",35491.8444400803,10671.7901691173,"wb","eswatini","ID1"
"ID1_2016/11",27330.3336056109,7658.02148527333,"wb","eswatini","ID1"
"ID2_2015/06",135167.254086209,59839.6612386883,"wb","eswatini","ID2"
"ID2_2015/07",37665.5527874295,29105.7573115596,"wb","eswatini","ID2"
"ID2_2015/08",13902.3203691391,9965.0062579808,"wb","eswatini","ID2"
"ID2_2015/09",18100.4460103735,9453.22864682186,"wb","eswatini","ID2"
"ID2_2015/10",155900.393317994,88039.4049361454,"wb","eswatini","ID2"
"ID2_2015/11",301965.184966459,139800.407988673,"wb","eswatini","ID2"
"ID2_2015/12",56631.1989049752,29701.508242686,"wb","eswatini","ID2"
"ID2_2016/01",48087.2963823231,26522.6109292755,"wb","eswatini","ID2"
"ID2_2016/02",97214.4222322333,41944.794199263,"wb","eswatini","ID2"
"ID2_2016/03",197576.56156295,92267.2089283728,"wb","eswatini","ID2"
"ID2_2016/04",45890.9344666952,21904.9481649304,"wb","eswatini","ID2"
"ID2_2016/05",53414.1795669904,26011.0463123831,"wb","eswatini","ID2"
"ID2_2016/06",42795.4791999685,22365.4686448471,"wb","eswatini","ID2"
"ID2_2016/07",9639.68258041825,8764.52218358138,"wb","eswatini","ID2"
"ID2_2016/08",116972.834589894,47074.0174993248,"wb","eswatini","ID2"
"ID2_2016/09",17430.8408469825,11272.0304297841,"wb","eswatini","ID2"
"ID2_2016/10",98639.3506720637,41560.3660977426,"wb","eswatini","ID2"
"ID2_2016/11",83687.9802966346,15044.2810733179,"wb","eswatini","ID2"
